Month,Borough,Average Price
2019-11,Richmond upon Thames,"650,949"
2019-12,Richmond upon Thames,"655,378"
2020-01,Richmond upon Thames,"663,189"
2020-02,Richmond upon Thames,"658,329"
2020-03,Richmond upon Thames,"658,720"
2020-06,Richmond upon Thames,"697,610"
2020-07,Richmond upon Thames,"695,495"
2020-08,Richmond upon Thames,"700,187"
2020-09,Richmond upon Thames,"689,675"
2019-06,Sutton,"371,680"
2019-07,Sutton,"373,534"
2019-08,Sutton,"368,908"
2019-09,Sutton,"372,899"
2019-10,Sutton,"369,917"
2019-11,Sutton,"374,775"
2019-12,Sutton,"372,581"
2020-01,Sutton,"371,406"
2020-02,Sutton,"373,087"
2020-03,Sutton,"374,398"
2020-06,Sutton,"371,099"
2020-07,Sutton,"372,406"
2020-08,Sutton,"379,385"
2020-09,Sutton,"386,214"
2019-06,Wandsworth,"574,833"
2019-07,Wandsworth,"585,174"
2019-08,Wandsworth,"592,251"
2019-09,Wandsworth,"605,559"
2019-10,Wandsworth,"600,642"
2019-11,Wandsworth,"601,650"
2019-12,Wandsworth,"605,560"
2020-01,Wandsworth,"605,362"
2020-02,Wandsworth,"610,466"
2020-03,Wandsworth,"611,134"
2020-06,Wandsworth,"581,629"
2020-07,Wandsworth,"591,528"
2020-08,Wandsworth,"612,112"
2020-09,Wandsworth,"615,803"
2019-06,Westminster,"995,108"
2019-07,Westminster,"948,507"
2019-08,Westminster,"905,951"
2019-09,Westminster,"922,687"
2019-10,Westminster,"927,735"
2019-11,Westminster,"955,265"
2019-12,Westminster,"960,943"
2020-01,Westminster,"1,009,356"
2020-02,Westminster,"1,009,514"
2020-03,Westminster,"996,800"
2020-06,Westminster,"962,093"
2020-07,Westminster,"916,653"
2020-08,Westminster,"965,242"
2020-09,Westminster,"925,004"
